,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro,label assortativity,feature assortativity,cluster coefficient,average shortest path,average degree
423,GAT,0.50.10.2320,0.8045649072753209,0.2462311557788944,0.8045649072753209,0.2462311557788944,0.5,0.1,0.2,3,20
424,GAT,0.50.10.242,0.463623395149786,0.1959798994974874,0.463623395149786,0.1959798994974874,0.5,0.1,0.2,4,2
425,GAT,0.50.10.245,0.9044222539229672,0.2412060301507537,0.9044222539229672,0.2412060301507537,0.5,0.1,0.2,4,5
426,GAT,0.50.10.525,0.644793152639087,0.2663316582914573,0.644793152639087,0.2663316582914573,0.5,0.1,0.5,2,5
427,GAT,0.50.10.5220,0.6262482168330956,0.2010050251256281,0.6262482168330956,0.2010050251256281,0.5,0.1,0.5,2,20
428,GAT,0.50.10.5240,0.8644793152639088,0.2060301507537688,0.8644793152639088,0.2060301507537688,0.5,0.1,0.5,2,40
429,GAT,0.50.10.535,0.7203994293865906,0.2211055276381909,0.7203994293865906,0.2211055276381909,0.5,0.1,0.5,3,5
430,GAT,0.50.10.5320,0.8930099857346647,0.2562814070351759,0.8930099857346647,0.2562814070351759,0.5,0.1,0.5,3,20
431,GAT,0.50.10.545,0.477888730385164,0.2010050251256281,0.477888730385164,0.2010050251256281,0.5,0.1,0.5,4,5
432,GAT,0.50.50.0125,0.985734664764622,0.4321608040201005,0.985734664764622,0.4321608040201005,0.5,0.5,0.01,2,5
433,GAT,0.50.50.01220,0.7560627674750356,0.3567839195979899,0.7560627674750356,0.3567839195979899,0.5,0.5,0.01,2,20
434,GAT,0.50.50.01240,0.8930099857346647,0.3115577889447236,0.8930099857346647,0.3115577889447236,0.5,0.5,0.01,2,40
435,GAT,0.50.50.0132,0.6975748930099858,0.2814070351758794,0.6975748930099858,0.2814070351758794,0.5,0.5,0.01,3,2
436,GAT,0.50.50.0135,0.971469329529244,0.4924623115577889,0.971469329529244,0.4924623115577889,0.5,0.5,0.01,3,5
437,GAT,0.50.50.01320,0.9072753209700428,0.4623115577889447,0.9072753209700428,0.4623115577889447,0.5,0.5,0.01,3,20
438,GAT,0.50.50.0142,0.9828815977175464,0.4874371859296482,0.9828815977175464,0.4874371859296482,0.5,0.5,0.01,4,2
439,GAT,0.50.50.0145,0.7203994293865906,0.2261306532663316,0.7203994293865906,0.2261306532663316,0.5,0.5,0.01,4,5
440,GAT,0.50.50.0172,0.9814550641940084,0.4824120603015075,0.9814550641940084,0.4824120603015075,0.5,0.5,0.01,7,2
441,GAT,0.50.50.225,0.7303851640513552,0.4321608040201005,0.7303851640513552,0.4321608040201005,0.5,0.5,0.2,2,5
442,GAT,0.50.50.2220,1.0,0.984924623115578,1.0,0.984924623115578,0.5,0.5,0.2,2,20
443,GAT,0.50.50.2240,0.9914407988587732,0.964824120603015,0.9914407988587732,0.964824120603015,0.5,0.5,0.2,2,40
444,GAT,0.50.50.232,0.9985734664764622,0.5778894472361809,0.9985734664764622,0.5778894472361809,0.5,0.5,0.2,3,2
445,GAT,0.50.50.235,0.884450784593438,0.5477386934673367,0.884450784593438,0.5477386934673367,0.5,0.5,0.2,3,5
446,GAT,0.50.50.2320,0.6476462196861626,0.4221105527638191,0.6476462196861626,0.4221105527638191,0.5,0.5,0.2,3,20
447,GAT,0.50.50.242,0.7203994293865906,0.507537688442211,0.7203994293865906,0.507537688442211,0.5,0.5,0.2,4,2
448,GAT,0.50.50.245,0.6590584878744651,0.3819095477386934,0.6590584878744651,0.3819095477386934,0.5,0.5,0.2,4,5
449,GAT,0.50.50.525,0.6562054208273894,0.3618090452261306,0.6562054208273894,0.3618090452261306,0.5,0.5,0.5,2,5
